,Students,Unemployed,Self-employed,Part Timers,Full Timers,"Working in agriculture, forestry or fishing","Working in mining or quarrying, manufacturing or other industry",Working in construction,"Working in wholesale or retail trade, transport, accommodation or food service activities",Working in information or communication,Working in financial or insurance activities,Working in real estate activities,Working in business services,"Working in public administration, defence, education, human health or social work activities",Working in other service activities
Belgium,0.05603491343240512,0.2940286825639567,0.3707147951008375,0.20689291453094144,0.4096573773016684,0.5382528623243539,0.5024345235483954,0.21345934490685944,0.18142556875923005,0.6435076150428245,0.7545372574600187,1.0446078304464077,-0.1663690800123559,0.2728831288556086,0.7111638995253039
Bulgaria,-1.5266226789846948,-1.993743168633348,-1.4096703771604102,-2.601406861455143,-1.9616890592305682,-1.2059905126845574,-2.100714257525157,-2.004760051636422,-1.8633069924870675,0.030687743148998595,-0.022332302504152694,-0.41604339197296686,-0.7932523816205225,-1.4110759596038969,-1.2880930545885128
Czechia,0.7630036090641111,-0.3098301097644186,0.6664714914777873,0.9229555585611094,0.3231170646313326,0.5444044099758761,0.2373961899915115,0.5462614440139458,0.9206417801188851,0.5292216510303672,1.4072090737431326,2.444026512537284,1.0587358013250587,0.8627800538180695,-0.005935549925193973
Denmark,0.05603491343240512,1.6237607659512296,0.3870807782995621,0.3908849688196846,1.0189863001198534,0.6618430469594836,0.7819056376455049,0.9766209152085568,1.1000422056827788,0.3667502535423873,-0.4329452510007145,-1.7197862298005653,0.16948750713293464,0.34367075985110324,1.3601068619037398
Germany,0.5725464494795809,0.4945617707553252,0.8716307808617987,0.8040601082751089,0.9523076985541838,1.0784705924489475,1.044319829285984,0.7891170298488465,0.8118487509616655,0.7046660498386808,0.7329927509031001,0.46417437524918953,0.6684954342043824,0.8800836969503016,0.8480594077469664
Estonia,1.0424787888892368,0.6877513937453199,0.7167384398738698,0.28328727625316835,0.24012348608683004,1.1310383632892294,0.11340548444138511,0.4985206023540937,0.24410764516107247,0.27285043446188095,0.9205566903398011,0.1401521826775546,0.6927476604096231,0.3350189382849872,0.8410689988164991
Ireland,-0.6995831653540449,-0.3985165741194746,-0.7585380456111556,-0.05456947840569398,-0.27911838993518534,-1.0007525137655864,0.23870826094971365,-0.7406655920342463,-0.5938148244405642,0.44767707130256007,-0.05908469604242589,-0.00017238890858541246,-0.159019920556222,-0.2540914574441901,-0.4346806309938912
Greece,0.9379343697694672,0.4273408200658243,-0.7053486002153007,-0.2891324482007002,0.18053835277282804,-1.027036399185727,-8.865344312235796e-05,-0.0003365981785657624,-0.00013630771507096336,-2.01533989365781,-0.0007877959472341702,-0.00017238890858541246,-0.0002780763037438339,-3.106046457329368,0.6418423442981641
Spain,0.7174595056852021,0.13416709394942866,-0.07116675126472495,0.13211251819721234,0.12308125993432617,-0.36602464244942284,0.4296145853681624,0.17540505083016578,0.03444690685146239,0.37539892108927597,0.4427755743422604,0.9081102926307971,-0.03040963007388995,0.7322162010930451,0.002219927160351933
France,0.03843832803600815,0.6538584774312857,0.13165454051946826,0.08315556807944706,-0.04432459080501207,-0.0002871729861885575,-8.865344312235796e-05,-0.0003365981785657624,-0.00013630771507096336,-0.00020035523274670083,-0.0007877959472341702,-0.00017238890858541246,-0.0002780763037438339,-4.251509368992241e-05,-0.00011020914980398081
Croatia,1.1314968091298323,-0.4776000455188875,-0.1161732050612176,-1.4877707433916958,0.2904871106736644,-1.0768080120025891,0.4781612108216507,1.1122325813727745,0.4573708016546963,0.8226585856569475,1.2754073865713964,-0.00017238890858541246,0.6964222401376895,1.188403156397348,-0.02282903817382466
Italy,-1.2450773126423464,-0.6611866755532392,-0.0004423238702371693,-0.00023264365960318128,-0.00034508764467711567,-0.7211367114236641,-0.5452541365762174,-0.7289033556832681,-1.1204883629433986,-0.32514315020870754,-0.6217765143525272,-0.783438633943953,0.18271599415397397,-0.5993777908555507,-0.8867270751641481
Cyprus,0.4431597921531339,-0.6041335997579484,-1.1256036687825486,-1.0756715808619373,-1.087773770625209,-1.5633395080775339,-2.0639762706954903,-2.487011742026524,-1.1305751338586372,0.24628666985358044,-0.2403120159035613,-0.00017238890858541246,0.24297910169426723,-0.5285901598600549,-2.3063626221266684
Latvia,-0.3838797214775146,-0.989383081860803,-0.0004423238702371693,-0.00023264365960318128,-0.00034508764467711567,-0.0002871729861885575,-8.865344312235796e-05,-0.0003365981785657624,-0.00013630771507096336,-0.00020035523274670083,-0.0007877959472341702,-0.00017238890858541246,-0.0002780763037438339,-4.251509368992241e-05,-0.00011020914980398081
Lithuania,0.9783030068553188,-0.07992316076755362,-0.18923563005552355,0.6824747156749448,-0.06844238286067969,0.09813758943816837,0.23805222547061258,0.060550272344144083,0.45592983438109097,0.42420211653243306,0.8369133119423541,-0.00017238890858541246,0.06292469501900216,-0.1675732417830296,0.40125577027456033
Luxembourg,-0.7254604968193342,1.661042973896667,0.767589887669907,0.6491194309793251,0.5650043320131728,-0.0002871729861885575,-8.865344312235796e-05,-0.0003365981785657624,-0.00013630771507096336,-0.00020035523274670083,-0.0007877959472341702,-0.00017238890858541246,-0.0002780763037438339,-4.251509368992241e-05,-0.00011020914980398081
Hungary,-0.2948617012369191,-0.8701929928231164,0.3707147951008375,-0.4080278984867012,-0.3280633208716871,-0.22845366769719705,-0.23822953235685682,0.3075572357146842,-0.9576590610259693,0.4773296457490349,1.2095065429855292,-0.00017238890858541246,0.7581551795692091,0.27445618732217486,-0.8436195534262626
Malta,1.0724964933889718,-0.0002748074295731843,-0.6346241728208124,0.029356721796188742,0.08832326550115883,-0.0002871729861885575,-8.865344312235796e-05,-0.0003365981785657624,-0.00013630771507096336,-0.00020035523274670083,-0.0007877959472341702,-0.00017238890858541246,-0.0002780763037438339,-4.251509368992241e-05,-0.00011020914980398081
Netherlands,0.8623725618908218,2.245130898375189,1.4350882024178861,1.3587262134555023,1.5680207427988693,2.2752262264723755,1.4969843098658109,1.6858145775469422,1.7362292569796358,0.6027353251789209,0.7089135965159564,2.19144228368223,1.1263480683214848,1.3488551199871368,1.599528367772265
Austria,0.8706533079597157,0.1968689891303918,0.7605758948704533,0.726589769627217,0.6536726851590088,0.8765879831580797,0.890151491697203,1.2969688817087246,0.49987933622606073,0.7083726216444903,0.19057811523480375,2.0868366939543805,0.8331166060217681,0.5552471236043068,0.8043693519315421
Poland,-0.04747441242875246,-0.977520561150891,-1.174701618378722,-0.329481582913144,-0.8990875151308705,-1.0533202846058678,-0.5905205846342003,-0.8700501918950053,-0.2191633333031169,0.36180815780130815,-0.43801454666116485,0.012584390326517567,-0.31849668075431387,-0.28712568524208804,-0.30419299762515717
Portugal,0.5197566932903914,0.042091337962969495,-0.7053486002153007,-0.5624305873196528,-0.3422502573750206,-1.3536276563210923,-0.6023292232580219,-1.1571871381100587,0.002745626832140107,0.40072716176230694,-0.20736159411062857,-0.982444390011571,0.5626675380360636,0.04636270967002394,-1.267121827797109
Romania,-2.170450685841095,-1.2322823154447144,-2.7458360054562774,-2.441086299531033,-1.9957377068385695,-1.4604408928157067,-1.6867558702123018,-1.2540526139416435,-1.321503297611375,-0.7174219996568733,-1.9423280339001083,-3.194469909378554,-1.390004129458543,-1.4110759596038969,-1.4453772555240405
Slovenia,0.7516175832193839,-0.6335074605634445,0.5600926006860782,1.033243193441789,0.08193914407465841,-0.0002871729861885575,-0.06831634326964686,-0.7655738572480822,0.6446965472234194,0.6972529062270616,0.32364712632165354,-0.00017238890858541246,-0.2604383210508607,0.7101933825611132,0.9709740981076935
Slovakia,-0.044369132652917614,-0.43014996267923955,0.35727130890188497,-0.018524251395910813,-0.22024260344635038,0.45101273199367403,-0.25135024193888095,0.4355580430635636,0.13315316509344396,-0.04220816903192073,0.04610318891193974,-2.1917870614994026,-0.6903641492346569,-0.0802684968885843,-0.1975892614355219
Finland,0.8220039248049718,1.8762629924907839,0.9265737244575166,1.2640402439969673,1.3828812214303638,-0.0002871729861885575,-8.865344312235796e-05,-0.0003365981785657624,-0.00013630771507096336,-0.00020035523274670083,-0.0007877959472341702,-0.00017238890858541246,-0.0002780763037438339,-4.251509368992241e-05,-0.00011020914980398081
Sweden,-0.31452847315053883,0.2392351345229345,1.0534100942476319,-0.00023264365960318128,-0.00034508764467711567,-0.0002871729861885575,-8.865344312235796e-05,-0.0003365981785657624,-0.00013630771507096336,-0.00020035523274670083,-0.0007877959472341702,-0.00017238890858541246,-0.0002780763037438339,-4.251509368992241e-05,-0.00011020914980398081
Iceland,-1.1063748159883948,-0.0002748074295731843,1.335138805025676,1.541104302355748,1.6630732173712055,1.3200586456723684,1.4038272718334406,1.6173168482088927,2.355845184630029,0.8226585856569475,1.0865761232195836,-0.00017238890858541246,1.6349099026859064,1.5761620684060051,1.7696283184136505
Norway,1.2194797361118157,-0.0002748074295731843,0.821948331865671,1.4345825867148965,1.4992141007577007,2.2349615509351386,2.144491327738693,1.682355096267242,1.344286158558922,0.42790868833824264,-0.0007877959472341702,-0.00017238890858541246,1.0528564737601522,1.5690833053064563,1.7387540123040839
Switzerland,0.6491433506168384,1.9576059916444657,1.0750365720459467,-0.00023264365960318128,-0.00034508764467711567,2.1169636823468476,1.6209750154159372,1.2222440860672168,1.4566816059001564,0.8226585856569475,1.0270118992092803,-0.00017238890858541246,1.4357476814246957,1.5045879081772269,1.4754486092564603
United Kingdom,0.2785799640338945,1.2520684503739885,0.8242863294654883,1.1607464591331114,1.2906661341586945,-0.0002871729861885575,-8.865344312235796e-05,-0.0003365981785657624,-0.00013630771507096336,-0.00020035523274670083,-0.0007877959472341702,-0.00017238890858541246,-0.0002780763037438339,-4.251509368992241e-05,-0.00011020914980398081
Bosnia and Herzegovina,-0.14684336525546454,-1.5503108468580682,-1.8234959523281589,-1.0745956039362718,-1.8801141743363994,-1.1142765295164068,-1.5168426811250912,-1.2035441872580315,-1.828003294283731,-1.872019117166512,-3.764739823832374,-0.00017238890858541246,-2.382875571982147,-1.3512997378743672,-1.3405211215670219
Montenegro,-0.0008952157912312562,-0.0002748074295731843,-0.0004423238702371693,-0.00023264365960318128,-0.00034508764467711567,-0.0002871729861885575,-8.865344312235796e-05,-0.0003365981785657624,-0.00013630771507096336,-0.00020035523274670083,-0.0007877959472341702,-0.00017238890858541246,-0.0002780763037438339,-4.251509368992241e-05,-0.00011020914980398081
North Macedonia,-0.700618258612657,-1.2401906625846557,-0.0004423238702371693,-0.00023264365960318128,-0.00034508764467711567,-0.0002871729861885575,0.3482661859596138,0.5344992076629677,-1.5484556432042516,-4.756967506021522,-0.0007877959472341702,-0.00017238890858541246,-3.7292415843457594,-4.251509368992241e-05,-0.00011020914980398081
Albania,-3.347351720882456,-1.449196979854533,-2.634781119464932,-2.358774064717648,-3.0030101985752657,-1.3994846479051675,-2.650471989011961,-2.122382415146203,-2.342428610960918,-0.30846357708256533,-2.657098722023751,-0.00017238890858541246,-1.6303216436741008,-2.62469056656,-2.3844221885168935
Serbia,0.38105419663643997,0.02175558817454904,0.6647179932779247,-0.00023264365960318128,-0.2188239097960168,0.24689319628407083,0.34695411500141116,0.18301590964550452,0.5474312562550442,-0.14599217959458533,-0.5672815860026742,-0.00017238890858541246,0.3752639719046657,-0.3783630763029484,-0.435845699148969
Turkiye,-1.4096571407615857,0.09123606661831886,-0.0004423238702371693,-0.00023264365960318128,-0.00034508764467711567,-0.0002871729861885575,-8.865344312235796e-05,-0.0003365981785657624,-0.00013630771507096336,-0.00020035523274670083,-0.0007877959472341702,-0.00017238890858541246,-0.0002780763037438339,-4.251509368992241e-05,-0.00011020914980398081
